HOME_ADVANTAGE,VARIANCE
0.879,0.268
0.262,0.132
0.503,0.123
0.861,0.371
0.363,1.061
1.147,0.394
0.895,0.274
0.563,0.15
0.745,0.429
0.767,0.389
0.679,0.299
1.701,0.871
0.686,0.376
0.619,0.3
0.632,0.262
0.218,0.218
0.7,0.149
0.862,0.89
0.991,0.196
0.587,0.177
1.348,1.426
0.841,1.419
0.668,0.252
1.038,0.229
0.41,0.173
0.67,0.168
0.903,0.389
0.935,0.513
1.372,0.739
0.407,0.207
0.445,0.261
0.908,0.202
0.583,0.454
0.712,0.26
1.02,1.052
0.576,0.274
0.592,0.381
0.706,0.413
1.407,0.633
0.772,0.136
0.795,0.295
0.309,0.179
0.767,0.235
0.577,0.552
0.356,0.734
0.817,0.337
1.059,0.215
1.684,0.478
0.613,0.182
0.457,0.116
0.731,0.157
0.684,0.211
0.551,0.194
0.772,0.324
1.012,0.556
1.3,0.401
0.801,0.178
0.612,0.167
0.905,0.198
0.346,0.378
0.657,0.216
0.428,0.205
0.746,0.296
1.165,0.259
1.092,0.392
0.847,0.31
0.477,0.352
0.298,0.065
0.732,0.679
0.554,0.187
0.837,0.362
0.816,0.543
0.798,0.168
0.44,0.282
0.481,0.539
1.076,0.272
1.675,1.561
1.548,0.637
0.746,0.32
0.502,0.19
1.267,0.539
1.19,0.402
0.534,0.141
0.548,0.146
0.878,0.314
1.683,0.681
0.724,0.18
1.039,0.244
0.891,0.306
1.459,0.459
1.161,0.371
0.824,0.33
0.886,0.225
0.652,0.452
1.175,0.335
0.981,0.375
1.233,0.739
0.751,0.281
0.876,0.554
1.165,0.755
0.305,0.338
1.171,0.603
1.274,0.448
1.092,0.384
0.63,0.171
0.785,0.491
1.141,0.333
0.664,0.223
0.981,0.319
0.545,0.203
1.702,0.635
1.723,1.633
2.395,1.177
0.858,0.439
1.634,0.767
0.561,0.146
0.943,0.83
1.183,0.612
0.777,0.108
0.717,0.833
1.326,0.625
1.619,0.887
0.885,0.192
0.778,0.199
2.108,0.57
1.349,0.686
0.663,0.347
1.104,0.66
0.517,0.305
1.016,0.44
0.569,0.338
0.917,0.196
0.912,0.538
0.48,0.544
1.13,0.354
0.871,0.335
1.134,0.535
1.083,0.345
0.566,0.342
0.72,0.223
0.945,0.339
1.121,0.286
0.459,0.131
1.173,0.889
1.435,0.236
0.381,0.216
0.686,0.3
1.044,0.285
0.667,0.238
1.263,0.861
0.766,0.303
0.604,0.276
1.743,0.448
-0.308,0.198
0.658,0.502
1.25,0.487
0.644,0.295
0.769,0.265
0.624,0.365
0.467,0.487
0.559,0.107
0.717,0.347
1.268,0.45
0.727,0.713
1.311,0.633
0.918,0.317
0.854,0.567
0.714,0.2
0.982,0.723
0.956,0.367
0.213,0.123
0.411,0.154
0.839,0.301
0.976,0.93
0.583,0.434
1.245,0.284
0.744,0.298
0.558,0.163
0.849,0.438
1.204,0.545
0.606,0.142
1.386,0.399
0.974,0.412
1.349,0.792
0.927,0.258
1.292,0.672
0.99,0.313
1.084,1.747
0.802,0.383
0.779,0.433
0.675,0.797
0.428,0.267
0.979,0.385
0.296,0.206
1.045,0.505
0.854,0.212
0.461,0.159
1.33,0.641
0.746,0.249
0.639,0.729
0.931,0.485
0.738,0.372
1.042,0.427
0.556,0.234
1.305,0.557
0.818,0.232
1.386,0.631
1.897,0.972
1.13,0.415
0.504,0.361
0.895,0.473
0.887,0.328
1.338,0.618
1.37,0.91
0.878,0.405
1.169,0.699
0.39,0.242
1.002,0.52
0.672,0.366
0.564,0.357
0.483,0.185
1.032,0.241
1.266,0.441
0.416,0.389
0.841,0.228
