VALUE,ERROR,MEASURE,YEAR,YEAR_NUMBER
0.796687771,0.2223908887,IS_HOMETRUE,1999,0
0.75144,0.26160175,IS_HOMETRUE,2000,1
0.8248201043,0.2152283464,IS_HOMETRUE,2001,2
0.7201299805,0.1520186813,IS_HOMETRUE,2002,3
1.266782918,0.3620803911,IS_HOMETRUE,2003,4
1.16711015,0.246786823,IS_HOMETRUE,2004,5
0.87668,0.1518378218,IS_HOMETRUE,2005,6
0.9974772695,0.2368918221,IS_HOMETRUE,2006,7
0.8766800014,0.1129616407,IS_HOMETRUE,2007,8
0.8899435955,0.1259128175,IS_HOMETRUE,2008,9
0.97061,0.2482765417,IS_HOMETRUE,2009,10
0.7514400034,0.4510688766,IS_HOMETRUE,2010,11
1.188583689,0.2632956071,IS_HOMETRUE,2011,12
0.9604890008,0.2486183445,IS_HOMETRUE,2013,14
0.8766799994,0.2441995761,IS_HOMETRUE,2014,15
1.213098295,0.2482931489,IS_HOMETRUE,2015,16
1.016981004,0.2557554873,IS_HOMETRUE,2017,18
0.87668,0.201909813,IS_HOMETRUE,2018,19
