YEAR,YIELD,ERROR
1999,11.04038769,0.2401756498
2000,12.26172792,0.1077679709
2001,11.63218683,0.1191362123
2002,12.5084788,0.1582085087
2003,11.79865167,0.2118775994
2004,13.48123802,0.1034986397
2005,11.69785544,0.1491699568
2006,12.23224773,0.1266519421
2007,13.74051857,0.08786266346
2008,13.89682308,0.1224094603
2009,13.96314179,0.1086406016
2010,13.89513403,0.1307657976
2011,13.01673717,0.1906080514
2013,14.68723636,0.1072235076
2014,15.29408109,0.1395310564
2015,14.65597015,0.1229142381
2017,15.06219733,0.1799491964
2018,15.96320781,0.1961233899
