City,Lon,Lat
DWIGHT,-88.4251,41.0945
GOODFIELD,-89.2748,40.6298
URBANA,-88.2073,40.1106
WOODSTOCK,-88.4487,42.3147
MT_MORRIS,-89.4312,42.0503
DEKALB,-88.7504,41.9295
ERIE,-90.0793,41.6564
FENTON,-90.0302,41.7307
ROCK.FALLS,-89.689,41.7798
ST_PETER,-88.8539,38.8681
BROWNSTOWN,-88.9528,38.9959
BELLEVILLE,-89.984,38.5201
CARBONDALE,-89.2168,37.7273
DIXON_SPRINGS_UPLAND,-88.6687,37.3845
DIXON_SPRINGS_BOTTOMLAND,-88.6687,37.3845
ELKVILLE,-89.2359,37.9101
MONMOUTH,-90.6474,40.9114
PERRY,-90.7454,39.7831
NEW_BERLIN,-89.9107,39.7253
